iter	Passed	Remaining
457	815	964
458	816	962
459	817	959
460	818	956
461	819	954
462	820	951
463	821	949
464	823	947
465	825	945
466	826	943
467	827	940
468	828	938
469	829	935
470	830	932
471	831	930
472	833	928
473	834	925
474	836	924
475	838	923
476	839	920
477	840	917
478	841	915
479	842	913
480	843	910
481	844	907
482	845	905
483	847	903
484	849	901
485	850	899
486	851	896
487	852	894
488	854	892
489	855	890
490	856	887
491	858	886
492	861	885
493	862	883
494	863	880
495	864	878
496	865	875
497	866	873
498	867	871
499	868	868
500	869	866
501	871	864
502	873	863
503	874	860
504	875	858
505	876	855
506	877	853
507	878	851
508	879	848
509	880	846
510	881	843
511	884	842
512	885	840
513	887	839
514	888	836
515	889	834
516	890	831
517	891	829
518	892	826
519	893	824
520	894	822
521	896	820
522	897	818
523	899	816
524	900	814
525	901	812
526	902	809
527	903	807
528	904	805
529	905	802
530	906	800
531	908	799
532	910	797
533	912	795
534	912	793
535	913	791
536	914	788
537	916	786
538	917	784
539	917	781
540	918	779
541	923	780
542	925	778
543	926	776
544	927	774
545	929	772
546	930	770
547	930	767
548	932	765
549	933	763
550	935	762
551	936	760
552	937	758
553	938	755
554	939	753
555	940	751
556	941	749
557	942	746
558	943	744
559	946	743
560	947	741
561	949	739
562	950	737
563	950	735
564	951	732
565	953	730
566	954	728
567	955	726
568	956	724
569	957	722
570	959	720
571	960	718
572	961	716
573	962	714
574	963	712
575	964	709
576	966	708
577	967	706
578	968	704
579	971	703
580	972	701
581	973	699
582	975	697
583	975	695
584	976	693
585	978	691
586	979	688
587	980	686
588	981	684
589	984	684
590	985	681
591	986	680
592	987	677
593	988	675
594	989	673
595	990	671
596	991	669
597	992	667
598	994	665
599	995	663
600	996	661
601	997	659
602	999	657
603	1000	655
604	1001	653
605	1002	651
606	1038	672
607	1041	671
608	1043	669
609	1044	667
610	1045	665
611	1047	663
612	1055	666
613	1058	665
614	1059	663
615	1061	661
616	1062	659
617	1063	657
618	1065	655
619	1066	653
620	1068	652
621	1069	649
622	1070	647
623	1072	645
624	1073	643
625	1074	641
626	1075	639
627	1077	638
628	1079	636
629	1080	634
630	1081	632
631	1083	630
632	1084	628
633	1085	626
634	1086	624
635	1089	623
636	1090	621
637	1092	619
638	1093	617
639	1094	615
640	1095	613
641	1097	611
642	1098	609
643	1099	607
644	1101	606
645	1103	604
646	1104	602
647	1105	600
648	1106	598
649	1107	596
650	1109	594
651	1110	592
652	1112	591
653	1114	589
654	1115	587
655	1116	585
656	1118	583
657	1119	581
658	1120	579
659	1121	577
660	1123	576
661	1125	574
662	1126	572
663	1127	570
664	1128	568
665	1130	566
666	1131	564
667	1132	562
668	1134	561
669	1135	559
670	1137	557
671	1139	555
672	1140	554
673	1142	552
674	1143	550
675	1144	548
676	1145	546
677	1147	544
678	1149	543
679	1150	541
680	1151	539
681	1153	537
682	1154	535
683	1155	533
684	1157	532
685	1158	530
686	1160	528
687	1161	526
688	1162	524
689	1163	522
690	1165	521
691	1166	519
692	1167	517
693	1169	515
694	1170	513
695	1173	512
696	1174	510
697	1175	508
698	1176	506
699	1178	504
700	1179	503
701	1180	501
702	1182	499
703	1184	498
704	1186	496
705	1187	494
706	1188	492
707	1189	490
708	1191	488
709	1192	486
710	1194	485
711	1196	484
712	1198	482
713	1199	480
714	1200	478
715	1202	476
716	1203	474
717	1204	473
718	1206	471
719	1208	469
720	1209	468
721	1210	466
722	1212	464
723	1213	462
724	1214	460
725	1216	458
726	1217	457
727	1219	455
728	1221	453
729	1222	452
730	1223	450
731	1225	448
732	1226	446
733	1227	444
734	1228	442
735	1230	441
736	1231	439
737	1232	437
738	1234	435
739	1235	434
740	1236	432
741	1237	430
742	1239	428
743	1240	426
744	1242	425
745	1244	423
746	1245	421
747	1247	420
748	1248	418
749	1249	416
750	1250	414
751	1251	412
752	1255	411
753	1256	410
754	1257	408
755	1259	406
756	1261	404
757	1262	402
758	1263	401
759	1265	399
760	1267	397
761	1268	396
